Designator,Mid X,Mid Y,Rotation,Layer
C1,85.2,-61.4,270.0,top
C10,94.5375,-73.7,180.0,top
C11,73.8625,-70.2,180.0,top
C2,97.0,-54.7,270.0,top
C3,73.5375,-56.5,180.0,top
C4,94.5,-65.0,180.0,top
C5,100.4,-60.8,0.0,top
C6,73.7375,-82.3,180.0,top
C7,84.8,-86.3625,270.0,top
C8,96.7,-80.0,270.0,top
C9,102.8375,-81.9,0.0,top
J1,120.5216,-54.8736,270.0,top
J2,66.5,-56.6,0.0,top
J3,66.3,-82.4,0.0,top
J4,66.4,-70.2,0.0,top
J5,109.9,-52.02255,270.0,top
J6,110.2,-88.8,90.0,top
R1,77.6,-67.9,270.0,top
R2,77.6,-72.85,270.0,top
U1,91.92,-58.4575,270.0,top
U2,91.645,-83.8575,270.0,top
